tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
w,,SD 1.1.0,the,fs-rom-0002530,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,house,fs-rom-0002550,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,of,fs-rom-0002570,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
c,,, ,,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
w,,SD 1.1.0,Capulet,fs-rom-0002590,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
pc,,SD 1.1.0,.,fs-rom-0002600,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
sp,,,,sp-0015,{'#SERVANTS.CAPULET.Sampson_Rom'},,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,#SERVANTS.CAPULET.Sampson_Rom
p,,,,p-0015,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,
lb,,1.1.1,,ftln-0015,,,,,,,1,1,#SERVANTS.CAPULET.Gregory_Rom #SERVANTS.CAPULET.Sampson_Rom,3,#SERVANTS.CAPULET.Sampson_Rom
