source,target,n_lines,n_tokens,edge_type
2.02.0045,#MistressQuickly_1H4,24,142,passive
2.02.0045,#Pistol_2H4,101,798,passive
2.02.0045,#Robin_Wiv,101,798,passive
2.02.0046,#Falstaff_1H4,3,27,passive
2.02.0046,#Pistol_2H4,2,4,passive
2.02.0048,#Bardolph_1H4,3,17,passive
2.02.0048,#Falstaff_1H4,5,29,passive
2.02.0050,#Bardolph_1H4,6,32,passive
2.02.0050,#Falstaff_1H4,3,15,passive
2.02.0050,#MasterFord_Wiv,3,17,passive
2.02.0051,#Falstaff_1H4,84,653,passive
2.02.0051,#MasterFord_Wiv,49,348,passive
2.03.0053,#DoctorCaius_Wiv,7,34,passive
2.03.0053,#Rugby_Wiv,10,72,passive
2.03.0054,#DoctorCaius_Wiv,50,348,passive
2.03.0054,#Host_Wiv,41,282,passive
2.03.0054,#MasterPage_Wiv,58,413,passive
2.03.0054,#Rugby_Wiv,65,446,passive
2.03.0054,#Shallow_2H4,45,296,passive
2.03.0054,#Slender_Wiv,62,437,passive
2.03.0055,#DoctorCaius_Wiv,8,61,passive
2.03.0055,#Host_Wiv,8,58,passive
2.03.0055,#Rugby_Wiv,16,119,passive
3.01.0056,#HughEvans_Wiv,4,21,passive
3.01.0056,#Simple_Wiv,6,39,passive
3.01.0058,#HughEvans_Wiv,4,27,passive
3.01.0058,#Simple_Wiv,5,29,passive
3.01.0059,#HughEvans_Wiv,27,165,passive
3.01.0059,#MasterPage_Wiv,24,156,passive
3.01.0059,#Shallow_2H4,27,161,passive
3.01.0059,#Simple_Wiv,38,237,passive
3.01.0059,#Slender_Wiv,36,229,passive
3.01.0060,#DoctorCaius_Wiv,29,218,passive
3.01.0060,#Host_Wiv,21,141,passive
3.01.0060,#HughEvans_Wiv,28,209,passive
3.01.0060,#MasterPage_Wiv,37,269,passive
3.01.0060,#Rugby_Wiv,38,277,passive
3.01.0060,#Shallow_2H4,37,271,passive
3.01.0060,#Simple_Wiv,38,277,passive
3.01.0060,#Slender_Wiv,38,277,passive
3.01.0061,#DoctorCaius_Wiv,3,12,passive
3.01.0061,#HughEvans_Wiv,3,12,passive
3.01.0061,#MasterPage_Wiv,3,12,passive
3.01.0061,#Rugby_Wiv,3,12,passive
3.01.0061,#Shallow_2H4,1,4,passive
3.01.0061,#Simple_Wiv,3,12,passive
3.01.0061,#Slender_Wiv,2,8,passive
3.01.0062,#DoctorCaius_Wiv,7,48,passive
3.01.0062,#HughEvans_Wiv,5,35,passive
3.01.0062,#Rugby_Wiv,12,83,passive
3.01.0062,#Simple_Wiv,12,83,passive
3.02.0063,#MistressPage_Wiv,2,16,passive
3.02.0063,#Robin_Wiv,6,44,passive
3.02.0064,#MasterFord_Wiv,12,78,passive
3.02.0064,#MistressPage_Wiv,8,46,passive
3.02.0064,#Robin_Wiv,18,118,passive
3.02.0066,#DoctorCaius_Wiv,34,273,passive
3.02.0066,#Host_Wiv,31,245,passive
3.02.0066,#HughEvans_Wiv,36,288,passive
3.02.0066,#MasterFord_Wiv,29,229,passive
3.02.0066,#MasterPage_Wiv,24,193,passive
3.02.0066,#Rugby_Wiv,36,288,passive
3.02.0066,#Shallow_2H4,29,244,passive
3.02.0066,#Slender_Wiv,32,252,passive
3.02.0067,#Host_Wiv,1,7,passive
3.02.0067,#HughEvans_Wiv,1,7,passive
3.02.0067,#MasterFord_Wiv,1,7,passive
3.02.0067,#MasterPage_Wiv,1,7,passive
3.02.0067,#Rugby_Wiv,1,7,passive
3.02.0068,#DoctorCaius_Wiv,2,15,passive
